step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
208,train_episode,0,1.0,1.0,-1.150838138208199,nan,208,0.07523069944447623,0.4877389974714018,,,,,
608,train_episode,1,0.0,0.0,-4.242021788592684,nan,400,0.07487605841830373,0.5013691226602532,0.009433861821889877,5.083404541015625,0.0,0.10000000149011612,15.73663330078125
1008,train_episode,2,0.0,0.0,-4.232012314628809,nan,400,0.07529515006579458,0.49989908481948075,0.011203035712242126,7.7261505126953125,0.0,0.10000000149011612,15.845717430114746
1145,train_episode,3,1.0,1.0,-0.49761329651810293,nan,137,0.07558021063569688,0.5169084283903949,0.013688202947378159,8.661579132080078,0.0,0.10000000149011612,15.81230354309082
1357,train_episode,4,1.0,1.0,-1.156732793694828,nan,212,0.07400162742947633,0.4803868602535178,0.025261204689741135,10.169355392456055,0.0,0.10000000149011612,15.904356002807617
1516,train_episode,5,1.0,1.0,-0.6575277832988651,nan,159,0.07518167688318018,0.4920640655225084,0.05461198836565018,11.117044448852539,0.0,0.10000000149011612,15.989160537719727
1676,train_episode,6,1.0,1.0,-0.7199711794825268,nan,160,0.07580810845829547,0.5078366937552345,0.715573787689209,12.316543579101562,0.0,0.10000000149011612,16.012977600097656
1845,train_episode,7,1.0,1.0,-0.8686944639368442,nan,169,0.07418237994672984,0.524461621626283,0.7525580525398254,13.542360305786133,0.0,0.10000000149011612,16.076061248779297
1999,train_episode,8,1.0,1.0,-0.5799232316738925,nan,154,0.07379458784186221,0.48489162296830834,1.2628109455108643,14.563926696777344,0.0,0.10000000149011612,16.19888687133789
2162,train_episode,9,1.0,1.0,-0.35036564861191455,nan,163,0.07798314249954341,0.3829887552541092,3.04007625579834,15.60441780090332,0.0,0.10000000149011612,16.24167251586914
2562,train_episode,10,0.0,0.0,-3.171740387314933,nan,400,0.07713375254534185,0.3658552616462111,1.9286346435546875,18.248355865478516,0.0,0.10000000149011612,16.460296630859375
2962,train_episode,11,0.0,0.0,-3.139100202361586,nan,400,0.07851829470135271,0.3607524595502764,0.5523577332496643,21.10706901550293,0.0,0.10000000149011612,16.51666831970215
3092,train_episode,12,1.0,1.0,0.111222546042409,nan,130,0.07701405762479856,0.3113456544967798,1.2417964935302734,21.900278091430664,0.0,0.10000000149011612,16.394317626953125
3241,train_episode,13,1.0,1.0,-0.23257893912959815,nan,149,0.07667745539806033,0.3833987120063913,2.4530458450317383,22.655838012695312,0.0,0.10000000149011612,16.519577026367188
3388,train_episode,14,1.0,1.0,-0.4502276622178034,nan,147,0.078577791194932,0.4616196813175873,1.464678168296814,23.889568328857422,0.0,0.10000000149011612,16.484554290771484
3788,train_episode,15,0.0,0.0,-2.42382955353707,nan,400,0.07582541781011969,0.2733247831091285,1.0108897686004639,26.403385162353516,0.0,0.10000000149011612,16.497804641723633
4188,train_episode,16,0.0,0.0,-2.4714575139852197,nan,400,0.07614115842618048,0.27910323209129273,1.4626288414001465,29.059188842773438,0.0,0.10000000149011612,16.829252243041992
