step,phase,episode,success_rate,task_return,regularized_return,final_distance,episode_length,correction_norm,gate,critic_loss,actor_loss,alpha_loss,alpha,mean_log_prob
198,train_episode,0,1.0,1.0,0.9764210526249372,nan,198,0.030732289671596854,0.4090909090909091,,,,,
334,train_episode,1,1.0,1.0,0.995457404863555,nan,136,0.009297847309533288,0.1323529411764706,0.008822867646813393,3.637993335723877,0.0,0.10000000149011612,16.17620086669922
556,train_episode,2,1.0,1.0,0.98864270595368,nan,222,0.013670231828147226,0.1891891891891892,0.4741431474685669,4.95057487487793,0.0,0.10000000149011612,16.202360153198242
956,train_episode,3,0.0,0.0,-0.0382259346835781,nan,400,0.0245036306604743,0.325,0.045081354677677155,7.672370433807373,0.0,0.10000000149011612,16.181190490722656
1155,train_episode,4,1.0,1.0,0.9740708781289867,nan,199,0.03336979639739846,0.44221105527638194,0.03558089956641197,9.077224731445312,0.0,0.10000000149011612,16.304866790771484
1311,train_episode,5,1.0,1.0,0.9864498043782078,nan,156,0.02232007448298809,0.2948717948717949,0.6665612459182739,10.08958625793457,0.0,0.10000000149011612,16.27388572692871
1461,train_episode,6,1.0,1.0,0.99401757484884,nan,150,0.010202659666538239,0.13333333333333333,0.5896169543266296,11.221946716308594,0.0,0.10000000149011612,16.383644104003906
1633,train_episode,7,1.0,1.0,0.9854899626225233,nan,172,0.021256588962535527,0.27906976744186046,1.2236881256103516,12.34739875793457,0.0,0.10000000149011612,16.464221954345703
1784,train_episode,8,1.0,1.0,0.9845531877304893,nan,151,0.02610506632963553,0.3443708609271523,1.8480353355407715,13.335103988647461,0.0,0.10000000149011612,16.484560012817383
1911,train_episode,9,1.0,1.0,0.9946997953578829,nan,127,0.011329862692459362,0.15748031496062992,1.3848094940185547,14.211240768432617,0.0,0.10000000149011612,16.534486770629883
2311,train_episode,10,0.0,0.0,-0.06834532042848879,nan,400,0.042059594821184876,0.5325,2.1630465984344482,16.893840789794922,0.0,0.10000000149011612,16.614154815673828
2460,train_episode,11,1.0,1.0,0.9852759537170641,nan,149,0.023825284168624238,0.2953020134228188,1.539899468421936,17.830698013305664,0.0,0.10000000149011612,16.862796783447266
2860,train_episode,12,0.0,0.0,-0.08134909247164615,nan,400,0.051077616726979615,0.6575,0.23516403138637543,20.811491012573242,0.0,0.10000000149011612,16.61577606201172
3260,train_episode,13,0.0,0.0,-0.07976830487023105,nan,400,0.05052253835834563,0.66,1.1973066329956055,22.8453369140625,0.0,0.10000000149011612,16.822721481323242
3391,train_episode,14,1.0,1.0,0.9890407125698403,nan,131,0.01773619088735289,0.19083969465648856,2.1966304779052734,23.702919006347656,0.0,0.10000000149011612,16.698156356811523
3630,train_episode,15,1.0,1.0,0.9580258418107406,nan,239,0.043950096520918684,0.5648535564853556,0.6596692800521851,25.677997589111328,0.0,0.10000000149011612,16.593116760253906
4030,train_episode,16,0.0,0.0,-0.0899063186079729,nan,400,0.056952010802924634,0.745,1.4297412633895874,27.823165893554688,0.0,0.10000000149011612,16.8147029876709
4361,train_episode,17,1.0,1.0,0.9024647915852256,nan,331,0.06225321600579423,0.6646525679758308,3.939635753631592,29.462722778320312,0.0,0.10000000149011612,17.038793563842773
4576,train_episode,18,1.0,1.0,0.9566853870288469,nan,215,0.04305994205696638,0.46511627906976744,5.040451526641846,30.54960823059082,0.0,0.10000000149011612,17.26227569580078
4727,train_episode,19,1.0,1.0,0.9903083726298064,nan,151,0.01362208089489021,0.1456953642384106,1.8525230884552002,30.97604751586914,0.0,0.10000000149011612,17.243473052978516
4846,train_episode,20,1.0,1.0,0.9871422495227307,nan,119,0.0211693034076891,0.21008403361344538,1.2802255153656006,32.82025909423828,0.0,0.10000000149011612,16.909502029418945
4979,train_episode,21,1.0,1.0,0.9933155848877504,nan,133,0.011583791863649412,0.13533834586466165,2.75754976272583,31.979333877563477,0.0,0.10000000149011612,17.184539794921875
5125,train_episode,22,1.0,1.0,0.9893592179287225,nan,146,0.01542738013683933,0.1643835616438356,1.8149224519729614,33.47372817993164,0.0,0.10000000149011612,16.961923599243164
5525,train_episode,23,0.0,0.0,-0.030422878090757877,nan,400,0.01704693993553519,0.195,1.90385103225708,34.84424591064453,0.0,0.10000000149011612,16.892669677734375
5678,train_episode,24,1.0,1.0,0.9879716223338619,nan,153,0.01716059402507894,0.1895424836601307,3.283259868621826,35.453269958496094,0.0,0.10000000149011612,17.16340446472168
5847,train_episode,25,1.0,1.0,0.9809093554038555,nan,169,0.025115324481880877,0.28402366863905326,2.542797088623047,37.06675338745117,0.0,0.10000000149011612,16.862770080566406
5978,train_episode,26,1.0,1.0,0.9932736305636354,nan,131,0.012072088865150932,0.1450381679389313,1.039015531539917,38.077781677246094,0.0,0.10000000149011612,16.912181854248047
6378,train_episode,27,0.0,0.0,-0.12377392645576042,nan,400,0.06881220258772373,0.785,2.638399124145508,39.938209533691406,0.0,0.10000000149011612,17.08498764038086
6530,train_episode,28,1.0,1.0,0.9897399335051887,nan,152,0.015949781224327653,0.19078947368421054,4.056662559509277,40.152103424072266,0.0,0.10000000149011612,17.20768165588379
6714,train_episode,29,1.0,1.0,0.9875294495373965,nan,184,0.01543328957632184,0.1793478260869565,4.470284938812256,40.818294525146484,0.0,0.10000000149011612,17.226238250732422
6887,train_episode,30,1.0,1.0,0.9829747826326638,nan,173,0.023008304610417758,0.27167630057803466,2.2498626708984375,43.876312255859375,0.0,0.10000000149011612,17.03438949584961
7029,train_episode,31,1.0,1.0,0.9902683489373886,nan,142,0.016301584705500534,0.19718309859154928,4.6488189697265625,43.201332092285156,0.0,0.10000000149011612,16.940387725830078
